ORF	Brief ID	Functional Catergories 	Previous deletion	Potential overlap with another gene	Distance to nearest upstream ORF (bp)	Distance to nearest downstream ORF (bp)	Cell Cycle Transcriptional Regulation	Cell cycle transcription profile	Relative transcript abundance (exon1)	Relative transcript abundance (exon2)	Yeart ORF with highest degree of similarity	Similar gene name	Smith-Waterman probability	Smith-Waterman Score	Notes
YBR236C	 methyltransferase	transcription; cellular organization 	lethal	No	276	120	No		288.7777778		YML008C	ABD1	1.92E-02	117	
YBR237W	 pre-mRNA processing RNA-helicase	protein destination; transcription; cellular organization 	no data	No	589	276	No		67.88888889		YNL112W	PRP5	1.20E-69	944	
YBR243C	 UDP-N-acetylglucosamine-1-phosphate transferase	"protein destination; cell growth, division, DNA synthesis; metabolism; cellular organization "	lethal	No	735	61	No		150.4444444						
YBR247C	 N-glycosylation protein	protein destination; cellular organization 	lethal	No	352	250	No		402.1111111		YLR106C	ENP1	2.07E-04	142	
YBR252W	" dUTP pyrophosphatase precursor, mitochondrial"	metabolism 	lethal	No	216	298	Yes	late G1	874.7777778						
YBR253W	 DNA-directed RNA polymerase II suppressor protein	"transcription; cell growth, division, DNA synthesis; metabolism; cellular organization "	lethal	No	101	216	No		705.6666667						
YBR254C	 hypothetical protein	intracellular transport; cellular organization 	no data	No	193	101	No		444.7777778						
YBR256C	" riboflavin synthase, alpha chain"	metabolism 	viable	No	783	846	No		1139						"Null mutants may require riboflavin for sporulation (Santos, M. A., Garcia-Ramirez, J. J., and Revuelta, J. L. Riboflavin biosynthesis in Saccharomyces cerevisiae. Cloning, characterization, and expression of the RIB5 gene encoding riboflavin synthase. J Biol Chem 270, 437-44 (1995).)"
YBR257W	 involved in processsing of tRNAs and rRNAs	cellular organization 	lethal	No	10	783	No		491.4444444		YNL250W	POP4	1.75E-02	115	
YBR265W	 similarity to human FVT1 protein	metabolism; cellular organization 	lethal	No	283	156	No		401		YMR226C		1.90E-05	152	
YCL003W		 	no data	No			No		62.77777778						
YCL004W	 phosphatidylserine synthase	"cellular biogenesis; cell growth, division, DNA synthesis; metabolism "	viable	No	563	318	No		31						"Null mutant is temperature sensitive on glucose (Janitor, M., Jarosch, E., Schweyen, R. J., and Subik, J. Molecular characterization of the PEL1 gene encoding a putative phosphatidylserine synthase. Yeast 11, 1223-31 (1995))."
YCL017C	 involved in tRNA-processing and mitochondrial metabolism	transcription; cellular organization 	lethal	No	352	359	No		698		YOL111C	NFS1	9.82E-02	109	
YCL031C	 involved in pre-rRNA processing and ribosome assembly	protein destination; protein synthesis; transcription 	lethal	No	366	194	No		626.7777778						
YCL043C	 protein disulfide-isomerase precursor	protein destination; metabolism; cellular organization 	lethal	Yes	-88	289	No		1589.666667		YDR518W	PDI1	8.60E-102	1335	
YCL052C	 required for Prb1p expression	protein destination; cellular organization 	lethal	No	468	169	No		257.1111111						
YCL059C	 strong similarity to human Rev interacting protein Rip-1	unclear classification; cellular organization 	lethal	No	144	1052	No		560.1111111		YOR145C	KRR1	2.00E-05	152	
YDR052C	 regulatory subunit for Cdc7p protein kinase	"cell growth, division, DNA synthesis; cellular organization "	lethal	Yes	-376	451	No		422.6666667		YIL115C	DBF4	2.48E-04	143	
YDR053W	 questionable ORF	unclassified proteins 	no data	Yes	796	-376	No		87						exclude
YDR054C	 E2 ubiquitin-conjugating enzyme	"protein destination; cell growth, division, DNA synthesis; metabolism; cellular organization "	lethal	No	1200	796	No		566.7777778		YMR022W	CDC34	1.30E-29	448	
YDR060W	 similarity to mouse putative CCAAT binding factor CBF1 and CBF2	cellular biogenesis; protein synthesis 	lethal	No	438	878	No		1269.888889		YHR077C		5.20E-07	178	
YDR062W	 serine C-palmitoyltransferase subunit	metabolism 	lethal	No	505	691	No		721.5555556		YDR232W	LCB2	1.10E-27	428	
YDR064W	 ribosomal protein	protein synthesis; cellular organization 	no data	No	235	346	No		2711.888889						
YDR081C	 pyruvate decarboxylase regulatory protein	energy; metabolism; cellular organization 	viable	No	360	318	No		259.3333333		YEL007W	PDC2	6.40E-10	213	"Null mutant grows slowly on glucose (Hohmann, S. Characterisation of PDC2, a gene necessary for high level expression of pyruvate decarboxylase structural genes in Saccharomyces cerevisiae. Mol Gen Genet 241, 657-66 (1993))."
YDR082W	 involved in telomere length regulation	"cell growth, division, DNA synthesis; cellular organization "	lethal	No	91	360	No		142.5555556						
YDR086C	 ER protein-translocase complex subunit	intracellular transport; transport facilitation; protein destination; cellular organization 	lethal	No	300	778	No		1415.333333						
YDR087C	 similarity to hypothetical human KIAA0179 and C.elegans C47E12.7 protein	transcription 	lethal	No	191	300	No		637		YGR116W		4.54E-02	110	
YDR088C	 pre-mRNA splicing factor affecting 3' splice site choice	transcription; cellular organization 	lethal	No	2467	191	No		179.2222222		YBR049C	SLU7	1.51E-03	130	
YDR091C	 strong similarity to human RNase L inhibitor and M.jannaschii ABC transporter protein	transport facilitation 	no data	No	1342	710	No		553.8888889		YPL226W		3.30E-09	202	
YDR113C	 cell cycle regulator	"cell growth, division, DNA synthesis; cellular organization "	viable	No	307	644	Yes	S	250		YLR114C	PDS1	4.55E-03	124	"Previously-reported null mutants are temperature-sensitive for growth (Yamamoto, A., Guacci, V., and Koshland, D. Pds1p is required for faithful execution of anaphase in the yeast, Saccharomyces cerevisiae. J Cell Biol 133, 85-97 (1996))."
YDR118W	 subunit of the anaphase promoting complex	"protein destination; cell growth, division, DNA synthesis; cellular organization "	no data	No	387	239	No		105						
YDR141C	 hypothetical protein	unclassified proteins 	no data	No	476	98	No		455.1111111		YLR106C		6.47E-02	118	
YDR145W	 TFIID subunit (TBP-associated factor)	transcription 	lethal	No	256	637	No		691.4444444		YBR289W	TAF61	1.40E-18	316	
YDR339C	 weak similarity to hypothetical protein YOR004w	unclassified proteins 	no data	No	361	485	No		826		YOR004W		3.90E-07	170	
YDR341C	 strong similarity to arginine-tRNA ligase	protein synthesis; cellular organization 	no data	No	590	620	No		1501.888889		YHR091C		1.00E-190	2425	
YDR353W	 thioredoxin reductase (NADPH)	metabolism 	viable	No	489	545	No		2083.444444		YHR106W	TRR1	2.30E-141	1817	"Previous null mutant grows slowly and does not germinate on YEPD (Machado, A. K., Morgan, B. A., and Merrill, G. F. Thioredoxin reductase-dependent inhibition of MCB cell cycle box activity in Saccharomyces cerevisiae. J Biol Chem 272, 17045-54 (1997))."
YDR355C	 questionable ORF	unclassified proteins 	no data	Yes	-262	178	No	very low expression	19.33333333						exclude
YDR356W	 spindle pole body component	"cellular biogenesis; cell growth, division, DNA synthesis; cellular organization "	lethal	Yes	258	-262	Yes	S	138.3333333		YDL058W	NUF1	1.30E-35	528	
YDR361C	 hypothetical protein	unclassified proteins 	no data	No	416	427	No		522						
YDR362C	 transcription factor IIIC subunit tau 91	transcription; cellular organization 	lethal	No	486	416	No		49		YPL221W	TFC6	3.09E-02	117	
YDR365C	 weak similarity to Streptococcus M protein	unclassified proteins 	no data	No	6055	287	No		952.5555556		YDL058W		4.40E-07	176	
YDR367W	 hypothetical protein	unclassified proteins 	no data	No	290	12	No		354.4444444						
YDR373W	 strong similarity to human BDR-1 protein and other calcium binding proteins	unclear classification 	no data	No	143	610	No		412.4444444		YKL190W		2.70E-15	270	
YDR376W	 similarity to human adrenodoxin reductase and ferredoxin-NADP+ reductase	metabolism; cellular organization 	lethal	No	308	286	No		183.4444444		YDL171C	ARH1	5.05E-03	125	
YDR381W	 RNA annealing protein	transcription; cellular organization 	lethal	No	1488	433	No		2109.444444						
YDR390C	 E1-like (ubiquitin-activating) enzyme	protein destination; transcription; cellular organization 	lethal	No	511	436	No		445.4444444		YKL210W	UBA2	4.90E-29	445	
YDR394W	 26S proteasome regulatory subunit	protein destination; cellular organization 	lethal	No	357	410	No		626.5555556		YDL007W	YTA2	1.10E-87	1161	
YDR396W	 hypothetical protein	unclassified proteins 	no data	Yes	-429	137	No		603.3333333						exclude
YDR397C	 functional homolog of human NC2beta/Dr1	transcription; cellular organization 	lethal	Yes	573	-429	No		1428.111111		YBL021C	NCB2	3.48E-03	120	
YDR398W	 similarity to human KIAA0007 gene	unclassified proteins 	no data	No	666	573	No		640.6666667		YCR057C		2.90E-05	154	
YDR404C	" DNA-directed RNA polymerase II, 19 KD subunit"	"cell rescue, cell defense and cell aging; transcription; cellular organization "	lethal	No	477	442	No		928.3333333		YKL144C	RPB7	2.30E-10	209	
YDR407C	 weak similarity to Myo1p	unclassified proteins 	no data	No	277	270	No		412		YGR014W		3.81E-04	144	
YDR412W	 questionable ORF	unclassified proteins 	no data	Yes	-564	299	No		381.4444444		YBR081C		3.46E-04	135	exclude
YDR413C	 weak similarity to NADH dehydrogenase	unclassified proteins 	no data	Yes	187	-564	No		462.1111111		YNL327W		6.34E-02	106	
YDR416W	 synthetic lethal with CDC40	unclassified proteins 	lethal	No	544	271	No		180.1111111		YMR061W	SYF1	9.82E-02	112	
YDR429C	 translation initiation factor eIF3 (p33 subunit)	protein synthesis; cellular organization 	no data	No	200	238	No		1194.555556		YNL016W	TIF35	1.62E-04	140	
YDR434W	 similarity to S.pombe hypothetical protein	unclassified proteins 	no data	No	142	1197	No		530.7777778						
YEL002C	 oligosaccharyl transferase beta subunit precursor	protein destination; metabolism; cellular organization 	no data	No	287	123	No		369.6666667						
YEL019C	 DNA repair protein	"cell rescue, cell defense and cell aging; cell growth, division, DNA synthesis "	no data	No	170	199	No		16.44444444		YOR156C	MMS21	5.60E-03	121	
YEL026W	 strong similarity to high mobility group-like protein Nhp2p	unclear classification 	no data	No	258	692	No		990.6666667		YDL208W		9.50E-16	273	conflicts with ty data
YEL032W	 replication initiation protein	"cell growth, division, DNA synthesis; cellular organization "	no data	No	406	339	Yes	early G1	205.1111111		YBL023C	MCM3	4.40E-82	1097	
YEL035C	 protein of unknown function	unclassified proteins 	no data	No	131	493	No		6.888888889						
YEL055C	 hypothetical protein	unclear classification 	no data	No	1182	98	No		280.8888889		YOR054C		4.60E-05	154	
YEL058W	 phosphoacetylglucosamine mutase	metabolism 	no data	No	95	292	No		379		YMR278W	PCM1	7.56E-02	111	
YER003C	 mannose-6-phosphate isomerase	metabolism; cellular organization 	no data	No	462	238	Yes	S	270.3333333						
YER006W	 similarity to P.polycephalum myosin-related protein mlpA	intracellular transport 	no data	No	242	281	No		590.7777778		YNR053C		2.60E-30	460	
YER008C	 secretory pathway protein	"intracellular transport; cell growth, division, DNA synthesis; cellular organization "	no data	No	297	923	No		270.1111111		YKL201C	PSL1	1.00E-15	286	
YER009W	 nuclear transport factor	intracellular transport; cellular organization 	no data	No	142	297	No		1088.222222		YNR051C	NTF2	8.35E-02	103	
YER012W	 proteasome component C11	"cell rescue, cell defense and cell aging; protein destination; cell growth, division, DNA synthesis; cellular organization "	no data	No	410	1823	No		501.8888889		YJL001W	PRE1	4.10E-11	220	
YER013W	 pre-mRNA splicing factor	transcription; cellular organization 	no data	No	322	410	No		40.44444444		YGL120C	PRP22	9.50E-159	2038	
YER021W	 26S proteasome subunit	protein destination; cellular organization 	no data	No	293	431	No		275.7777778		YER033C	SUN2	1.39E-02	121	
YER022W	 transcription factor	transcription; cellular organization 	no data	No	201	293	No		123.4444444		YDL074C	SRB4	1.61E-03	134	
YER023W	 delta 1-pyrroline-5-carboxylate reductase	metabolism; cellular organization 	no data	No	256	201	No		478.5555556						
YER025W	 translation initiation factor eIF2 gamma chain	protein synthesis; cellular organization 	no data	No	810	288	No		413		YOR187W	GCD11	1.50E-16	292	
YER036C	 similarity to members of the ABC transporter family	transport facilitation 	no data	No	690	291	No		699.5555556		YFR009W		6.80E-93	1227	
YER038C	 hypothetical  protein	unclassified proteins 	no data	Yes	204	4	No		49.77777778		YML034W		3.31E-03	128	
YER043C	 S-adenosyl-L-homocysteine hydrolase	metabolism 	no data	No	451	279	No		1155.888889		YCR045C	SAH1	2.08E-02	118	
YER082C	 hypothetical protein	unclassified proteins 	no data	No	238	177	No		268.7777778		YBR198C		1.94E-04	143	"yer083c (R neighbor) is Q1 by footprinting, but nonessential by sporulation."
YGR128C	 hypothetical protein	unclassified proteins 	no data	No	309	214	No		237.8888889						
YGR140W	" kinetochore protein complex CBF3, 110 KD subunit"	"cell growth, division, DNA synthesis; cellular organization "	lethal	No	270	1365	Yes	S	153.3333333		YLR106C	CBF2	1.83E-03	134	
YGR147C	 N-acetyltransferase for N-terminal methionine	protein destination; protein synthesis; cellular organization 	lethal	No	392	1196	No		339.7777778						
YGR156W	 hypothetical protein	unclassified proteins 	no data	No	617	480	No		146.1111111		YDL195W		1.10E-05	157	
YGR158C	 involved in mRNA transport	transcription; cellular organization 	lethal	No	391	220	No		187.4444444						
YGR172C	 weak similarity to T.brucei mitochondrion (SGC6) hypothetical protein 6	intracellular transport; cellular organization 	lethal	No	263	294	No		350.5555556						
YGR175C	 squalene monooxygenase	metabolism; cellular organization 	lethal	No	297	528	No		885.6666667						
YGR179C	 hypothetical protein	unclassified proteins 	viable	No	369	460	No		87.66666667		YDR485C		9.60E-05	145	"Previous disruption reported (Caponigro, G., Abedi, M. R., Hurlburt, A. P., Maxfield, A., Judd, W., and Kamb, A. Transdominant genetic analysis of a growth control pathway. Proc Natl Acad Sci U S A 95, 7508-7513 (1998))."
YGR185C	 tyrosyl-tRNA synthetase	protein synthesis; cellular organization 	lethal	No	254	583	No		607.5555556		YOL097C	TYS1	5.30E-05	148	
YGR186W	" TFIIF subunit (transcription initiation factor), 105 kD"	transcription; cellular organization 	lethal	No	251	254	No		223.8888889		YMR039C	TFG1	7.00E-05	150	
YGR190C	 questionable ORF	unclassified proteins 	no data	Yes	-241	2104	No	very low expression	41.55555556						exclude
YGR191W	 histidine permease	ionic homeostasis; intracellular transport; transport facilitation; metabolism; cellular organization;	viable	Yes	581	-241	No		164.7777778		YKR039W	HIP1	9.90E-154	1972	"Null mutant requires supplementation with large amounts of histidine for growth (Tanaka, J., and Fink, G. R. The histidine permease gene (HIP1) of Saccharomyces cerevisiae. Gene 38, 205-14 (1985).)"
YGR195W	 3'->5' exoribonuclease required for 3' end formation of 5.8S rRNA	cellular biogenesis; transcription; metabolism 	lethal	No	111	1007	No		257.4444444		YGR095C	ECM20	1.44E-04	140	
YGR198W	 hypothetical protein	unclassified proteins 	lethal	No	356	553	No		84.44444444		YEL061C		8.44E-03	125	
YGR211W	 weak similarity to M.jannaschii hypothetical protein	unclassified proteins 	lethal	No	339	503	No		301.4444444						
YGR216C	 required for N-acetylglucosaminyl phosphatidylinositol synthesis	"signal transduction; cellular biogenesis; cell growth, division, DNA synthesis; metabolism; cellular organization;"	viable	No	232	126	No		141.3333333		YKR082W	GPI1	2.31E-02	118	"Temperature sensitive null (Orlean, P., Leidich, S. D., Drapp, D. A., and Colussi, P. Isolation of temperature-sensitive yeast GPI-anchoring mutants. Braz J Med Biol Res 27, 145-50 (1994), Leidich, S. D., and Orlean, P. Gpi1, a Saccharomyces cerevisiae protein that participates in the first step in glycosylphosphatidylinositol anchor synthesis. J Biol Chem 271, 27829-37 (1996))."
YGR218W	 chromosome region maintenance protein	intracellular transport; transcription; cellular organization 	lethal	No	240	1726	No		175.5555556		YOR160W	CRM1	8.14E-04	139	
YHL015W	 ribosomal protein	protein synthesis; cellular organization 	lethal	No	320	1168	No		1962.222222						
YHR019C	 asparaginyl-tRNA-synthetase	protein synthesis 	lethal	No	438	492	No		597.4444444		YCR024C	DED81	6.80E-35	516	
YHR020W	 strong similarity to human glutamyl-prolyl-tRNA synthetase and fruit fly multifunctional aminoacyl-tRNA synthetase	protein synthesis 	lethal	No	1809	438	No		540.3333333		YER087W		1.03E-02	123	
YHR024C	" processing peptidase, catalytic 53kDa (alpha) subunit, mitochondrial"	protein destination; cellular organization 	lethal	No	246	292	No		106.5555556		YLR163C	MAS2	4.00E-39	567	
YHR036W	 similarity to hypothetical protein YGL247w	unclassified proteins 	lethal	No	217	234	No		128		YGL247W		6.40E-09	197	
YHR040W	 weak similarity to Hit1p	unclassified proteins 	lethal	No	107	245	No		293.8888889		YJR055W		1.25E-04	143	
YHR042W	 NADPH-Cytochrome P450 reductase	"cell rescue, cell defense and cell aging; metabolism; cellular organization "	lethal	No	187	679	No		745.1111111		YFR030W	NCP1	2.20E-22	364	
YHR062C	 hypothetical protein	transcription; cellular organization 	lethal	No	272	399	No		253.3333333						
YHR065C	 required for maturation of the 35S primary transcript	transcription; cellular organization 	lethal	No	172	289	No		218.8888889		YHR169W	RRP3	7.20E-69	932	
YHR068W	 deoxyhypusine synthase	metabolism 	lethal	No	283	321	No		730.7777778						
YHR069C	 strong similarity to hypothetical S.pombe protein similarity to human protein	transcription; cellular organization 	lethal	No	223	283	No		161.1111111		YDR349C		8.45E-02	108	
YHR070W	 strong similarity to N.crassa met-10+ protein	metabolism 	lethal	No	624	223	No		158.2222222						
YHR072W	 lanosterol synthase	metabolism; cellular organization 	lethal	No	1289	1405	No		671.4444444						
YHR074W	 weak similarity to B.subtilis spore outgrowth factor B	unclassified proteins 	lethal	No	102	621	No		425.7777778						
YHR083W	 hypothetical protein	unclassified proteins 	lethal	No	558	1079	No		107.4444444		YOR177C		3.10E-02	113	
YHR085W	 weak similarity to fruit fly brahma transcriptional activator	unclassified proteins 	lethal	No	385	524	No		248.4444444						
YHR088W	 similarity to hypothetical protein YNL075w	unclassified proteins 	lethal	No	299	340	No		343.2222222		YNL075W		1.10E-23	375	
YHR101C	 big cells phenotype	"cell growth, division, DNA synthesis; metabolism "	viable	No	604	201	No		23.44444444	67.55555556					"Null mutants are viable, but show slow growth on glucose Bickle, M., et al. (1998) Cell wall integrity modulates RHO1 activity via the exchange factor ROM2. EMBO J 17:2235-2245 "
YHR107C	 septin	"cell growth, division, DNA synthesis; metabolism; cellular organization "	lethal	No	267	187	No		228.5555556		YGR059W	CDC12	2.40E-52	728	
YHR118C	" origin recognition complex, 50 KD subunit"	"transcription; cell growth, division, DNA synthesis; cellular organization "	lethal	No	415	53	No		81.44444444		YMR016C	ORC6	4.41E-03	125	
YHR122W	 hypothetical protein	unclassified proteins 	lethal	No	495	306	No		236.5555556						
YHR143W-A	" DNA-directed RNA polymerases I, II, III 7.7 KD subunit"	 	no data	No	343	746	No		618		YHR143W	RPC10	9.20E-31	453	
YHR148W	 similarity to ribosomal protein	protein synthesis 	lethal	No	370	251	No		217.2222222		YPL081W		5.60E-08	180	
YHR164C	 DNA helicase	"cell growth, division, DNA synthesis; cellular organization "	lethal	No	529	137	No		56.77777778		YKL017C	DNA2	4.10E-26	414	
YHR166C	 subunit of anaphase-promoting complex (cyclosome)	"cellular biogenesis; protein destination; cell growth, division, DNA synthesis; cellular organization "	lethal	No	292	222	No		50.77777778		YBL084C	CDC23	5.10E-18	310	
YHR172W	 spindle pole body component	"cell growth, division, DNA synthesis; cellular organization "	lethal	No	9	730	Yes	S	63.55555556		YBL004W	SPC97	3.14E-02	118	
YHR186C	 similarity to C.elegans hypothetical protein C10C5.6	unclassified proteins 	lethal	No	318	659	No		83.77777778		YBR289W		4.60E-08	193
YHR188C	 hypothetical protein	unclassified proteins 	lethal	No	191	86	No		344.3333333					
YHR190W	 farnesyl-diphosphate farnesyltransferase	metabolism; cellular organization 	lethal	No	51	245	No		838.5555556					
YHR196W	 hypothetical protein	unclassified proteins 	lethal	No	238	219	No		337		YDR398W		2.31E-03	130
YHR197W	 hypothetical protein	unclassified proteins 	lethal	No	128	238	No		248.7777778		YMR227C		7.88E-03	125
YKL004W	 aureobasidin-resistance protein	cellular biogenesis; metabolism 	lethal	No	312	703	No		693.1111111		YDR072C	AUR1	3.00E-21	347
YKL006C-A	 SNARE-like protein	 	no data	No	1274	90	No		679.3333333		YKL006C	SFT1	7.80E-43	603
YKL012W	 splicing factor	transcription; cellular organization 	lethal	No	94	287	No		566.2222222		YPR152C	PRP40	7.57E-04	136
YKL013C	 strong similarity to C.elegans hypothetical protein	intracellular transport; cellular organization 	no data	No	287	595	No		735.5555556					
YKL014C	 hypothetical protein	unclassified proteins 	no data	No	595	136	No		446					
YKL018W	 similarity to C.elegans hypothetical protein	unclassified proteins 	lethal	No	99	584	No		124.1111111		YCR057C		1.60E-07	178
YKL019W	" protein farnesyltransferase, alpha subunit"	protein destination; metabolism; cellular organization 	lethal	No	584	488	No		295.5555556		YJL031C	RAM2	4.60E-15	270
YKL021C	 involved in cell growth and replication of M1 dsRNA virus	"cell growth, division, DNA synthesis "	lethal	No	82	96	No		355.8888889		YNL006W	MAK11	3.10E-10	213
YKL022C	 subunit of anaphase-promoting complex (cyclosome)	"protein destination; cell growth, division, DNA synthesis; cellular organization "	lethal	No	96	172	No		241.8888889		YBR112C	CDC16	1.70E-12	244
YKL024C	 uridine-monophosphate kinase	metabolism; cellular organization 	no data	No	581	247	No		945.2222222		YDR226W	URA6	1.80E-13	248
YKL028W	" TFIIE subunit (transcription initiation factor), 66 kD"	transcription; cellular organization 	lethal	No	356	1033	No		898		YLR106C	TFA1	7.50E-08	184
YKL033W	 hypothetical protein	unclassified proteins 	no data	No	1493	768	No		55.44444444		YIR010W		6.14E-03	128
YKL035W	 UTP--glucose-1-phosphate uridylyltransferase	protein destination; energy; metabolism 	lethal	Yes	439	-29	No		938.7777778		YHL012W	UGP1	2.70E-82	1096
YKL036C	 questionable ORF	unclassified proteins 	no data	Yes	-29	-193	No	very low expression	46.77777778					
YKL042W	 spindle pole body component	"cell growth, division, DNA synthesis; cellular organization "	lethal	No	576	627	Yes	late G1	252.2222222		YGR238C	SPC42	1.03E-04	144
YKL045W	" DNA-directed DNA polymerase alpha , 58 KD subunit (DNA primase)"	"cell growth, division, DNA synthesis; cellular organization "	lethal	No	1243	869	Yes	late G1	449.1111111					
YKL049C	 strong similarity to histone H3	"cell growth, division, DNA synthesis; cellular organization "	lethal	No	725	455	Yes	G2	426.1111111		YBR010W	CSE4	8.60E-24	372
YKL052C	 hypothetical protein	unclassified proteins 	no data	Yes	766	-278	Yes	G2	298.2222222		YDR409W		7.39E-03	120
YKL058W	" TFIIA subunit (transcription initiation factor), 13.5 kD"	transcription; cellular organization 	lethal	No	322	723	No		768.5555556					
YKL059C	 similarity to C.elegans hypothetical protein	unclassified proteins 	no data	No	723	631	No		443.1111111		YJR093C		1.75E-03	130
YKL060C	 fructose-bisphosphate aldolase	energy; metabolism; cellular organization 	lethal	No	631	296	No		3787.111111					
YKL078W	 strong similarity to ATP-dependent RNA helicases	transcription 	no data	No	401	272	No		366.2222222		YGL120C	JA2	1.90E-118	1541
YKL083W	 questionable ORF	unclassified proteins 	no data	Yes	-510	62	No		644.5555556		YGR228W		1.06E-02	116
YKL088W	" similarity to C.tropicalis hal3 protein, to C-term. of Sis2p and to hypothetical protein YOR054c"	"cell rescue, cell defense and cell aging "	no data	No	191	240	No		303.8888889		YKR072C		2.20E-46	657
YKL089W	 required for normal chromosome segregation and spindle integrity	"cell growth, division, DNA synthesis; cellular organization "	lethal	No	240	185	No		233.7777778		YDR170C	MIF2	6.20E-05	149
YKL095W	 similarity to C.elegans hypothetical proteins	unclassified proteins; cellular organization 	lethal	No	236	426	No		64.11111111		YDL058W	YJU2	6.84E-03	120
YLL003W	 protein of unknown function	unclassified proteins 	lethal	No	250	278	No		324.1111111		YKR095W	SFI1	3.00E-02	119
YLL004W	" origin recognition complex, 62 kDa subunit"	"transcription; cell growth, division, DNA synthesis; cellular organization "	lethal	No	278	527	No		177.6666667		YGL150C	ORC3	6.32E-03	125	
YLL008W	 RNA helicase of the DEAD box family	protein destination; transcription; cellular organization 	lethal	No	315	315	No		830.3333333		YHR065C	DRS1	2.60E-64	878	
YLL011W	 involved in 18S pre-rRNA production	transcription; cellular organization 	lethal	No	338	268	No		825.5555556		YCR072C	SOF1	1.90E-10	216	
YLL018C	" aspartyl-tRNA synthetase, cytosolic"	protein synthesis; cellular organization 	no data	No	659	930	No		792.5555556		YHR019C	DPS1	1.90E-32	486	
